date	bytes_sent	number_of_requests	number_of_downloads
2021-04-21	62572042499	7520	<50
2021-04-25	62578645248	140	140
2021-05-07	757759443	<50	<50
2021-05-08	1606162214	<50	<50
2021-05-10	6034821371	<50	<50
2021-06-09	834805564	<50	<50
2021-06-10	834805564	<50	<50
2021-06-16	834805564	<50	<50
2021-06-19	22861929	<50	<50
2021-07-02	132728	<50	<50
2021-07-13	417402782	<50	<50
2021-07-16	3583656	<50	<50
2021-07-26	298066355	<50	<50
2021-08-02	770770361	<50	<50
2021-08-26	24056481	<50	<50
2021-09-02	178742229	<50	<50
2021-09-09	914050160	<50	<50
2021-09-18	20373748	<50	<50
2021-10-08	336630240	<50	<50
2021-10-12	10451861	<50	<50
2021-11-17	178742229	<50	<50
2021-11-23	228512540	<50	<50
2021-12-02	6270929	<50	<50
2021-12-20	22662837	<50	<50
2022-02-03	2403083977	<50	<50
2022-02-13	1931221167	<50	<50
2022-02-16	15991152	38360	<50
2022-03-24	13172785	<50	<50
2022-03-28	2869057820	<50	<50
2022-03-31	824089792	<50	<50
2022-04-12	64840720	98500	<50
2022-04-13	5143215492	12276840	<50
2022-04-14	6786661024	16170500	<50
2022-04-16	2517257207	5959940	<50
2022-04-26	29073168	70780	<50
2022-05-17	14536584	35400	<50
2022-06-04	845649414	<50	<50
2022-06-09	434856514	<50	<50
2022-06-26	15064628	<50	<50
2022-06-27	26013750	<50	<50
2022-06-30	15529176	<50	<50
2022-07-07	75048508	159620	<50
2022-07-08	32276884	77380	<50
2022-07-11	466966362	<50	<50
2022-07-12	6977241821	320	<50
2022-07-13	25587722209	1200	60
2022-07-14	29449786920	1300	60
2022-07-15	4702251828	220	<50
2022-07-20	834805564	<50	<50
2022-07-21	554250951	<50	<50
2022-07-22	536226687	<50	<50
2022-07-25	343947897	<50	<50
2022-07-26	972603259	<50	<50
2022-07-27	201424786	<50	<50
2022-07-31	2751357262	340	<50
2022-08-01	3943050894	480	<50
2022-08-02	10760822586	560	<50
2022-08-03	8558227878	460	<50
2022-08-07	3068527918	60	<50
2022-08-08	8183868956	<50	<50
2022-08-09	9366133085	<50	<50
2022-08-10	5070607148	<50	<50
2022-08-11	7663159530	<50	<50
2022-08-12	74194586534	160	160
2022-08-13	4118208316	<50	<50
2022-08-14	11340310110	60	60
2022-08-16	756020674	<50	<50
2022-08-18	1134031011	<50	<50
2022-08-19	756020674	<50	<50
2022-08-20	378010337	<50	<50
2022-08-21	2089319793	<50	<50
2022-08-22	1512041348	<50	<50
2022-08-23	3307919360	<50	<50
2022-08-24	5718738241	140	<50
2022-08-25	13312499759	<50	<50
2022-08-26	13734495057	<50	<50
2022-08-27	12617018716	<50	<50
2022-08-28	16569625290	<50	<50
2022-08-29	10596073219	<50	<50
2022-08-30	5792796590	<50	<50
2022-08-31	20658771870	<50	<50
2022-09-01	4831569426	<50	<50
2022-09-05	827542370	<50	<50
2022-09-06	827542370	<50	<50
2022-09-10	4965254220	<50	<50
2022-09-11	4965254220	<50	<50
2022-09-16	417402782	<50	<50
2022-09-25	178742229	<50	<50
2022-10-02	14931900	<50	<50
2022-10-03	441426550	<50	<50
2022-10-04	136467460144	37400	<50
2022-10-05	21341860180	20380	<50
2022-10-25	1145323128	220	<50
2022-10-26	858992346	160	<50
2022-10-27	1431653910	280	<50
2022-10-30	286330782	60	<50
2022-10-31	1717984692	320	<50
2022-11-01	2466876558	480	<50
2022-11-02	1145323128	220	<50
2022-11-03	858992346	160	<50
2022-11-08	286330782	60	<50
2022-11-09	2004315474	380	<50
2022-11-11	572661564	120	<50
2022-11-29	572661564	120	<50
2022-12-06	286330782	60	<50
2022-12-14	572661564	120	<50
2022-12-16	32641709148	6280	<50
2022-12-19	1145323128	220	<50
2022-12-21	1145323128	220	<50
2022-12-26	1145323128	220	<50
2023-01-03	18648284	<50	<50
2023-01-04	1145323128	220	<50
2023-01-05	4008630948	760	<50
2023-01-16	1431653910	280	<50
2023-01-30	1145323128	220	<50
2023-01-31	2290646256	440	<50
2023-02-01	1145323128	220	<50
2023-02-17	922245546	120	<50
2023-02-18	1542723438	180	<50
2023-02-19	430732333	60	<50
2023-02-21	286388278	<50	<50
2023-02-22	491513213	60	<50
2023-02-23	310902303	<50	<50
2023-02-25	570237263	60	<50
2023-04-07	78655122707	180	180
2023-04-08	18581920	<50	<50
2023-04-11	430732333	<50	<50
2023-04-12	2320624929	<50	<50
2023-04-13	2474986195	<50	<50
2023-04-14	1468064699	<50	<50
2023-04-15	1416937824	<50	<50
2023-05-08	430732333	60	<50
2023-05-09	2034236651	240	<50
2023-05-12	1241313555	<50	<50
2023-05-14	827542370	<50	<50
2023-05-15	1655084740	<50	<50
2023-05-23	64308401	70800	<50
2023-05-25	695366168	81720	<50
2023-05-26	29082736	70800	<50
2023-05-27	5684784	13600	<50
2023-05-28	14541368	35400	<50
2023-05-29	14541368	35400	<50
2023-05-30	4141513714	9040	<50
2023-05-31	14541368	35400	<50
2023-06-01	841691274	34420	<50
2023-06-02	12724480	30480	<50
2023-06-03	14541368	35400	<50
2023-06-04	12203248	29180	<50
2023-06-05	13856416	33380	<50
2023-06-06	3209240	7500	<50
2023-06-07	14541368	35400	<50
2023-06-08	14541368	35400	<50
2023-06-09	14541368	35400	<50
2023-06-10	14541368	35400	<50
2023-06-11	14541368	35400	<50
2023-06-12	14541368	35400	<50
2023-06-13	14541368	35400	<50
2023-06-14	842083738	35400	<50
2023-06-15	2083397293	35400	<50
2023-06-16	39578056	13200	<50
2023-06-17	14541368	35400	<50
2023-06-18	6723800	15920	<50
2023-06-19	3440928	7920	<50
2023-06-20	14541368	35400	<50
2023-06-21	9356584	22180	<50
2023-06-22	7313456	17320	<50
2023-06-23	14541368	35400	<50
2023-06-24	3147704	7220	<50
2023-06-25	51110158321	103780	<50
2023-06-26	3883822696	33780	<50
2023-06-27	432855065	46200	<50
2023-06-28	5720920	13700	<50
2023-06-29	8992408	21960	<50
2023-06-30	5441968	12980	<50
2023-07-01	931560368	35420	<50
2023-07-02	14541368	35400	<50
2023-07-03	33485270	35400	<50
