region	bytes_sent
AWS/us-east-2	259111751613
US/Massachusetts	218142473064
US/California	147585753542
US/Texas	141005533846
IR/Fars	101822078696
GitHub	77181914412
VPN	61680573769
BR/Rio de Janeiro	58926538903
NL/North Holland	50557488438
HU/Budapest	48631557565
AWS/us-east-1	48054672419
CA/Ontario	46825783649
DE/North Rhine-Westphalia	46436686324
US/New Mexico	46436686324
DK/Central Jutland	46436686324
AU/New South Wales	46436686324
US/New York	41880025085
US/Washington	33042826255
DE/Berlin	27992958114
BO/La Paz Department	26765050860
JP/Osaka	25207362127
GCP/us-central1	19090266996
US/New Jersey	18767049112
CA/Quebec	11162898992
PT/Lisbon	10480988209
CN/Shanghai	9744589904
US/New Hampshire	9593698353
BR/Paraíba	7421685328
FI/Uusimaa	6017200212
US/Wisconsin	5972888649
DE/Hesse	4696217376
DE/Lower Saxony	4417939724
GB/England	4257000944
US/Georgia	2520546685
US/Maryland	2321423756
HK/Hong Kong	1809735632
VN/Ho Chi Minh	1710213897
US/Pennsylvania	1477299724
NL/Drenthe	1298554992
CO/Antioquia	1008984408
US/Florida	997487492
US/Colorado	941253248
CH/Zurich	843673368
BE/Flanders	776711216
US/Mississippi	773909328
CA/British Columbia	718166048
CR/Guanacaste Province	709218662
CH/Vaud	671225428
US/Virginia	598409672
FR/Nouvelle-Aquitaine	598001216
DE/Baden-Wurttemberg	501182340
IN/Delhi	491044560
DE/Mecklenburg-Vorpommern	392751544
IL/Tel Aviv	391692325
CO/Magdalena Department	358948232
IL/Jerusalem	340912351
US/Indiana	331320000
IN/Telangana	307162782
DE/Thuringia	307064572
JP/Tokyo	301667528
HK/Tai Po	301667528
US/Oregon	299000608
US/Nebraska	299000608
US/Rhode Island	283923232
AWS/ap-southeast-1	240104952
UA/Kyiv City	218868472
LT/Vilnius	183057608
GCP/us-east4	155638760
AU/Victoria	138396008
IN/Maharashtra	104666280
SE/Stockholm	98875712
ES/Catalonia	97515664
RS/Central Serbia	97515664
VN/Kiên Giang Province	91033728
ES/Madrid	63765217
CH/Geneva	58123096
IT/Piedmont	52957680
IT/Veneto	41145736
RU/Moscow	11712777
UA/Kiev	7764588
