region	bytes_sent
AL/Tirana	8779663
AM/Lori	82423150
AM/Yerevan	70478568
AR/Buenos Aires	5154008
AR/Buenos Aires F.D.	11655788151
AR/Rio Negro	5725057128
AT/Burgenland	97087937
AT/Lower Austria	52726814
AT/Salzburg	25269281117
AT/Styria	14775064444
AT/Tyrol	7260203732
AT/Upper Austria	16878991992
AT/Vienna	9329305204
AU/New South Wales	273430849778
AU/Queensland	3010208753
AU/South Australia	1022751312470
AU/Victoria	100602096367
AWS/ap-east-1	1892692216
AWS/ap-northeast-1	17471017810
AWS/ap-northeast-2	20421941915
AWS/ap-southeast-1	153289961028
AWS/ap-southeast-2	2907767365
AWS/ca-central-1	13036092
AWS/eu-central-1	22789093282
AWS/eu-central-2	17358364
AWS/eu-west-1	37455292804
AWS/eu-west-2	2627579132
AWS/eu-west-3	759274281
AWS/sa-east-1	39548420857
AWS/us-east-1	368027063170538
AWS/us-east-2	36254361686470
AWS/us-west-1	2981240255
AWS/us-west-2	28591494031698
BD/Dhaka Division	18276732
BD/Mymensingh Division	32551073
BE/Brussels Capital	42417407187
BE/Flanders	1175788370987
BE/Wallonia	110636113660
BG/Sofia-Capital	2668239044
BO/La Paz Department	26842716388
BR/Minas Gerais	29530187056
BR/Paraíba	7445923288
BR/Paraná	40821742390
BR/Pernambuco	89309814212
BR/Rio Grande do Norte	1690348300
BR/Rio Grande do Sul	22191904054
BR/Rio de Janeiro	238066773378
BR/Santa Catarina	8881941030
BR/São Paulo	127042326906
CA/Alberta	31713601342
CA/British Columbia	104445461143770
CA/Manitoba	75868912
CA/New Brunswick	365995564
CA/Nova Scotia	45416928755
CA/Ontario	12616684595470
CA/Quebec	11257409123842
CH/Basel-City	141946857389
CH/Bern	9422077891
CH/Geneva	958779633525
CH/Neuchâtel	627827725114
CH/Saint Gallen	4344253936
CH/Valais	299965420
CH/Vaud	952492956132
CH/Zurich	2625702058380
CL/Santiago Metropolitan	136751025217
CL/Valparaíso	648346593
CM/Centre	893712
CM/Littoral	1182381300
CM/South-West	1070349948
CN/Beijing	4007274060988
CN/Fujian	181119266316
CN/Guangdong	20680415507084
CN/Hainan	694004935
CN/Hubei	155863138
CN/Hunan	493453594510
CN/Jiangsu	59202210658
CN/Shanghai	37121473597773
CN/Sichuan	28392286626
CN/Tianjin	422097486385
CN/Yunnan	169445389998
