region	bytes_sent
US/California	147853606265
GitHub	91197332262
CA/Ontario	88892292537
AU/South Australia	86887147549
NL/North Holland	74101048121
VPN	64559597484
CN/Shanghai	39874878973
US/Massachusetts	39728951604
CA/Quebec	37108319392
GB/England	27798628540
CN/Yunnan	25441859538
US/Washington	25146798819
CN/Guangdong	24953262721
AWS/us-east-1	15837605228
HK/Kwai Tsing	15282070136
HK/Hong Kong	14154009247
US/Arizona	12927535916
US/Florida	12735887894
US/Connecticut	12527839621
CA/British Columbia	12518413354
US/Wisconsin	12484238503
US/Texas	12477704321
US/North Carolina	12433148013
IL/Tel Aviv	12420870673
US/Maine	12401578899
DE/North Rhine-Westphalia	12401578899
KR/Seoul	12401578899
US/New Mexico	12401578899
ZA/Western Cape	12401578899
IN/Delhi	11382362018
US/Maryland	11268337123
AWS/us-east-2	6263502584
NL/South Holland	5222526933
AR/Buenos Aires F.D.	4228834652
US/New Jersey	1685338364
DE/Bavaria	1412257472
GCP/us-central1	1205441584
US/Illinois	1091032994
PL/Lower Silesia	875842862
AWS/ap-southeast-1	808842776
PT/Lisbon	471698334
RU/Moscow	333721044
IN/Punjab	250822908
US/Virginia	245303524
US/New York	199656061
US/Georgia	168950183
US/Pennsylvania	157669314
DE/Thuringia	149716356
JP/Chiba	118698410
DE/Berlin	107108204
US/Vermont	104273207
IN/Maharashtra	94321973
US/Rhode Island	77167096
IT/Lazio	74160232
SG/Singapore	74160232
IT/Lombardy	71647053
ES/Catalonia	66729713
CH/Zurich	66457637
DE/Lower Saxony	61848269
CN/Beijing	55148484
VN/Ho Chi Minh	49734654
US/Ohio	44641241
US/New Hampshire	38583548
MX/Jalisco	36859368
US/Tennessee	35571105
DK/Central Jutland	35369574
US/Oregon	33626398
US/Colorado	30461076
IL/Jerusalem	29377521
NO/Oslo	29377521
JP/Tokyo	29377521
FR/Centre	29377521
US/Kentucky	28848190
VN/Kiên Giang Province	24867327
US/Michigan	19291774
US/Louisiana	19291774
US/West Virginia	19291774
CH/Vaud	19291774
US/Hawaii	19291774
CN/Hubei	19291774
