region	bytes_sent
US/New York	155412071589
CA/Quebec	109949032053
AWS/us-east-1	106166329899
TW/Taiwan	54772596116
US/Massachusetts	50682859114
US/California	48290032862
DE/Bavaria	36965676891
DE/Hesse	36885597443
GitHub	27942443999
VPN	22388726970
GB/Scotland	14912977325
US/Pennsylvania	6869784795
CA/British Columbia	5931454646
GB/England	3271603587
GCP/us-central1	2937354253
GCP/us-east4	2498218685
US/Washington	2248779057
PT/Lisbon	1825567532
GCP/us-east1	1626456648
US/North Carolina	1612976160
IL/Tel Aviv	1411202204
AWS/us-east-2	1087968976
US/Texas	708389288
CA/Ontario	359913296
PL/Mazovia	251280524
PL/Silesia	198284552
PL/Lublin	154174208
AWS/ap-southeast-1	139007976
US/Maryland	94949764
US/Indiana	85442788
US/Connecticut	60660408
IT/Lombardy	59383451
US/Nevada	53889341
US/Rhode Island	38912280
RU/Moscow	38322180
RU/St.-Petersburg	28299456
US/Virginia	24186759
SE/Stockholm	19822764
IT/Trentino-Alto Adige	13691172
CH/Basel-City	9958746
