week_start	undetermined
2024-11-04	570357953883
2024-11-11	535879669444
2024-11-18	278956975222
2024-11-25	161480680780
2024-12-02	2599304285122
2024-12-09	157042803904
2024-12-16	5814485663
2024-12-23	10414897667
2024-12-30	3261078228
2025-01-06	12053557113
2025-01-13	399319506518
2025-01-20	53575916557
2025-01-27	803910212981
2025-02-03	307074797685
2025-02-10	5961946399639
2025-02-17	6096189332136
2025-02-24	885575893131
2025-03-03	1162674720843
2025-03-10	319596181848
2025-03-17	284658688992
2025-03-24	502452738838
2025-03-31	105253840795
2025-04-07	195104525949
2025-04-14	83956115843
2025-04-21	93002230918
2025-04-28	493620266583
2025-05-05	4965135054870
2025-05-12	533883018316
2025-05-19	200988330254
2025-05-26	275094616163
2025-06-02	1864681599272
2025-06-09	35443494020063
2025-06-16	1030312346659
2025-06-23	934573029522
2025-06-30	2610494462339
2025-07-07	615195567347
2025-07-14	279147337086
2025-07-21	10864927203420
2025-07-28	152820313850428
2025-08-04	115235652065892
2025-08-11	111767061508283
2025-08-18	42478874057877
2025-08-25	51867784822660
2025-09-01	62962827756615
2025-09-08	48932102304753
2025-09-15	4399438675886
2025-09-22	1934250330221
2025-09-29	7722339489443
2025-10-06	7986275715430
2025-10-13	8454030308885
2025-10-20	5914297604693
2025-10-27	369891328728
2025-11-03	161761430489
2025-11-10	82365920687
2025-11-17	235257932111
2025-11-24	100333012220
2025-12-01	635061364344
2025-12-08	40287022656122
2025-12-15	23687343108144
2025-12-22	22690255543525
2025-12-29	51263036438881
2026-01-05	23400891921108
2026-01-12	44831381624703
2026-01-19	53957078699544
2026-01-26	130704954635405
2026-02-02	45616154987808
2026-02-09	2469253668044
2026-02-16	8970744499839
2026-02-23	8040993875671
2026-03-02	733453847749
2026-03-09	813257778496
2026-03-16	1433156312115
2026-03-23	404181557363
2026-03-30	76606150333
2026-04-06	355088707601
2026-04-13	3316855581626
2026-04-20	3283671086796
2026-04-27	3817098886238
2026-05-04	4477551135381
2026-05-11	23007952959727
2026-05-18	4452533365762
2026-05-25	2552420101988
2026-06-01	8762142246998
2026-06-08	6637580356757
2026-06-15	17424240951591
2026-06-22	32147618451491
2026-06-29	3817032630464
2026-07-06	3192333415186
2026-07-13	251821686247
2026-07-20	4976293217348
2026-07-27	4285050318588
2026-08-03	3936702131848
2026-08-10	2854571284706
2026-08-17	100566932494
2026-08-24	61187270895
